genus_species,AUTHOR,COMMON.NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,PHAGY,Source,eradicated
Orphinus fulvipes,(Guerin-Meneville),"NA",Coleoptera,"NA",Dermestidae,1885,"NA","NA",Neotropic,"NA",Sharp in Blackburn & Sharp (1885) (as Cryptorhopalum brevicorne) Transactions of the Royal Dublin Society (2)3(6): 150.,NA
Oryzaephilus surinamensis,(Linnaeus),Saw-toothed grain beetle :  saw-toothed grain beetle,Coleoptera,"NA",Silvanidae,1885,"NA","NA",Neotropic,"NA","Blackburn & Sharp (1885) (as Silvanus surinamensis) Transactions of the Royal Dublin Society (2)3(6): 233, 281. Nishida(2002)",NA
Oxytelus incisus,Motschulsky,"NA",Coleoptera,"NA",Staphylinidae,1885,"NA","NA",Neotropic,"NA",Blackburn in Blackburn & Sharp (1885) (as Oxytelus bledioides) Transactions of the Royal Dublin Society (2)3(6): 125. Nishida(2002),NA
Phacophallus parumpunctatus,(Gyllenhal),"NA",Coleoptera,"NA",Staphylinidae,1885,"NA","NA",Palearctic(Europe),"NA","Blackburn & Sharp (1885) (as Leptacinus flavipennis) Transactions of the Royal Dublin Society (2)3(6): 222, 278. Nishida(2002)",NA
Philonthus discoideus,(Gravenhorst),"NA",Coleoptera,"NA",Staphylinidae,1885,"NA","NA",Afrotropic,"NA","Blackburn & Sharp (1885) Transactions of the Royal Dublin Society (2)3(6): 222, 278. Nishida(2002)",NA
Philonthus longicornis,Stephens,"NA",Coleoptera,"NA",Staphylinidae,1885,"NA","NA",Afrotropic,"NA","Blackburn & Sharp (1885) (as Philonthus scybalarius) Transactions of the Royal Dublin Society (2)3(6): 222, 278. Nishida(2002)
Hromadka (2012) Revision of the Afrotropical species of the Philonthus longicornis species group (Coleoptera: Staphylinidae: Staphylininae). Klapalekiana 48: 75â€“120",NA
Philonthus turbidus,Erichson,"NA",Coleoptera,"NA",Staphylinidae,1885,"NA","NA",Afrotropic,"NA","Blackburn & Sharp (1885) Transactions of the Royal Dublin Society (2)3(6): 222, 278. Nishida(2002)
Hromadka (2008) Revision of Afrotropical species of the Philonthus turbidus species group (Coleoptera: Staphylinidae: Philonthina). Klapalekiana 44: 207â€“252.",NA
Placosternus crinicornis,(Chevrolat),kiawe roundheaded borer,Coleoptera,"NA",Cerambycidae,1885,"NA","NA",Nearctic,"NA","Blackburn & Sharp (1885) (as Clytus crinicornis) Transactions of the Royal Dublin Society (2)3(6): 262, 290.",NA
Plochionus pallens,(Fabricius),"NA",Coleoptera,"NA",Carabidae,1885,"NA","NA",Palearctic(Asia) Indomalaya,"NA","Blackburn & Sharp (1885) Transactions of the Royal Dublin Society (2)3(6): 210, 275. 
Darlington Jr (1970) Coleoptera: Carabidae Including Cicindelinae. Insect of Micronesia 1: 49",NA
Polytus mellerborgi,Boheman,"NA",Coleoptera,"NA",Rhynchophoridae,1885,"NA","NA",Indomalaya,"NA",Sharp in Blackburn & Sharp (1885) (as Calandra remota) Transactions of the Royal Dublin Society (2)3(6): 183.,NA
Psammoecus insularis,(Sharp),"NA",Coleoptera,"NA",Cucujidae,1885,"NA","NA","NA","NA",Sharp in Blackburn & Sharp (1885) (as Telephanus insularis) Transactions of the Royal Dublin Society (2)3(6): 143.,NA
Rhabdoscelus obscurus,(Boisduval),Hawaiian sugar-cane borer,Coleoptera,"NA",Rhynchophoridae,1885,"NA","NA",Australasia Oceania,"NA","Blackburn & Sharp (1885) (as Sphenophorus obscurus) Transactions of the Royal Dublin Society (2)3(6): 254, 288.",NA
Rhyzopertha dominica,(Fabricius),lesser grain borer,Coleoptera,"NA",Bostrichydae,1885,"NA","NA",Palearctic(Asia),"NA","Blackburn & Sharp (1885) (as Rhyzopertha pusilla) Transactions of the Royal Dublin Society (2)3(6): 245, 285.",NA
Saprosites pygmaeus,Harold,"NA",Coleoptera,"NA",Scarabaeidae,1885,"NA","NA",Oceania,"NA","Blackburn & Sharp (1885) Transactions of the Royal Dublin Society (2)3(6): 239, 283. Nishida(2002)
Stebnick (2012) A revision of the Indonesian species of Saprosites REDTENBACHER 1858 (Coleoptera: Scarabaeidae: Aphodiinae: Eupariini). Acta zoologica cracoviensia 55(2): 13-45",NA
Sericoderus basalis,(Sharp),"NA",Coleoptera,"NA",Corylophidae,1885,"NA","NA","NA","NA",Sharp in Blackburn & Sharp (1885) (as Sericoderus basalis) Transactions of the Royal Dublin Society (2)3(6): 127.,NA
Silvanus unidentatus,(Fabricius),"NA",Coleoptera,"NA",Silvanidae,1885,"NA","NA",Palearctic(Europe),"NA","Blackburn & Sharp (1885) (as Nausibius dentata) Transactions of the Royal Dublin Society (2)3(6): 234, 281. Nishida(2002)",NA
Simodactylus cinnamomeus,(Boisduval),"NA",Coleoptera,"NA",Elateridae,1885,"NA","NA",Oceania,"NA","Blackburn & Sharp (1885) Transactions of the Royal Dublin Society (2)3(6): 240, 283.
http://www.sdstate.edu/ps/Severin-McDaniel/project-elater/hawaii/checklist-of-species.cfm",NA
Sitophilus linearis,(Herbst),tamarind weevil,Coleoptera,"NA",Rhynchophoridae,1885,"NA","NA",Indomalaya,"NA","Blackburn & Sharp (1885) (as Sitophilus linearis striata) Transactions of the Royal Dublin Society (2)3(6): 254, 288. Cotton et al (1920) Tamarind Pod Borer, Sitophilus linearis (Hbst.). Journal of Agricultural Research 20: 439-446.",NA
Sitophilus oryzae,(Linnaeus),Rice weevil :  rice weevil:lesser rice weevil,Coleoptera,"NA",Rhynchophoridae,1885,"NA","NA",Palearctic(Asia),"NA",Karsch (1881) (as Calandra oryzae) Berliner Entomologische Zeitschrift 25: 1.,NA
Stegobium paniceum,(Linnaeus),book-worm :  biscuit beetle:drugstore beetle: sorghum midge,Coleoptera,"NA",Anobiidae,1885,"NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","Blackburn & Sharp (1885) (as Anobium paniceum) Transactions of the Royal Dublin Society (2)3(6): 243, 284",NA
Stricticomus tobias,Marseul,"NA",Coleoptera,"NA",Anthicidae,1885,"NA","NA",Nearctic,"NA",Sharp in Blackburn & Sharp (1885) (as Anthicus mundulus) Transactions of the Royal Dublin Society (2)3(6): 168,NA
Sunius debilicornis,Wollaston,Brown-banded Cockroach,Coleoptera,"NA",Staphylinidae,1885,"NA","NA",Neotropic,"NA","Blackburn & Sharp (1885) (as Lithocharis debilicornis) Transactions of the Royal Dublin Society (2)3(6): 223, 278. Nishida(2002)",NA
Tarsostenus univittatus,(Rossi),"NA",Coleoptera,"NA",Cleridae,1885,"NA","NA",Palearctic(Asia),"NA",Sharp in Sharp (1908) Fauna Hawaiiensis 3(5): 367.,NA
Tenebroides mauritanicus,(Linnaeus),cadelle,Coleoptera,"NA",Trogossitidae,1885,"NA","NA",Cosmopolitan,"NA","Blackburn & Sharp (1885) (as Trogosita mauritanicus) Transactions of the Royal Dublin Society (2)3(6): 231, 280. Nishida(2002)",NA
Tribolium castaneum,(Herbst),red-rust flour beetle :  red flour beetle:rust-red flour beetle:wee flour beetle:ferruginous flour beetle:brown grain beetle:red-brown rice-flour beetle,Coleoptera,"NA",Tenebrionidae,1885,"NA","NA",Australasia,"NA","Blackburn & Sharp (1885) (as Tribolium ferrugineus) Transactions of the Royal Dublin Society (2)3(6): 248, 286. Nishida(2002)",NA
Tricorynus herbarius,(Gorham),"NA",Coleoptera,"NA",Anobiidae,1885,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Typhaea stercorea,(Linnaeus),hairy fungus beetle,Coleoptera,"NA",Mycetophagidae,1885,"NA","NA",Palearctic(Europe),"NA","Blackburn & Sharp (1885) (as Typhaea fumatus) Transactions of the Royal Dublin Society (2)3(6): 235, 282.",NA
Xerosaprinus fimbriatus,(Le Conte),"NA",Coleoptera,"NA",Histeridae,1885,I,"NA",Nearctic,"NA","Blackburn & Sharp (1885) (as Saprinus oregonensis) Transactions of the Royal Dublin Society (2)3(6): 225, 279.",NA
Xyleborinus saxeseni,(Ratzeburg),Saxesen ambrosia beetle,Coleoptera,"NA",Curculionidae,1885,"NA","NA",Palearctic(Asia) Palearctic(Europe) Afrotropic,"NA",Blackburn in Blackburn & Sharp (1885) (as Xyleborus frigidus) Transactions of the Royal Dublin Society (2)3(6): 193-194.,NA
Xyleborus ferrugineus,(Fabricius),ambrosia beetle,Coleoptera,"NA",Curculionidae,1885,"NA","NA",Neotropic,"NA",Sharp in Blackburn & Sharp (1885) (as Xyleborus insularis) Transactions of the Royal Dublin Society (2)3(6): 193.,NA
Xyleborus perforans,(Wollaston),"NA",Coleoptera,"NA",Curculionidae,1885,"NA","NA",Indomalaya,"NA",Blackburn in Blackburn & Sharp (1885) (as Xyleborus immaturus) Transactions of the Royal Dublin Society (2)3(6): 193.,NA
Xylopsocus castanoptera,(Fairmaire),"NA",Coleoptera,"NA",Bostrichydae,1885,"NA","NA",Oceania,"NA","Blackburn & Sharp (1885) (as Xylopertha castanoptera) Transactions of the Royal Dublin Society (2)3(6): 245, 285.",NA
Xylothrips religiosus,(Boisduval),"NA",Coleoptera,"NA",Bostrichydae,1885,"NA","NA","NA","NA","Blackburn & Sharp (1885) (as Apate lifuana) Transactions of the Royal Dublin Society (2)3(6): 245, 285.",NA
Culex quinquefasciatus,Say,"NA",Diptera,"NA",Culicidae,1884,"NA","NA",Nearctic,"NA",Osten-Sacken (1884) (as Culex) Transactions of the Entomological Society of London 1884:(4): 494. Nishida(2002),NA
Ethmia nigroapicella,(Saalmueller),"NA",Lepidoptera,"NA",Ethmiidae,1883,"NA","NA",Afrotorpic,"NA",Nishida(2002),NA
Incisitermes immigrans,(Snyder),Termite,Isoptera,"NA",Kalotermitidae,1883,"NA","NA",Nearctic Neotropic Oceania,"NA",Nishida(2002),NA
Neotermes connexus,Snyder,"NA",Isoptera,"NA",Kalotermitidae,1883,"NA","NA","NA","NA",Nishida(2002),NA
Tramea lacerata,Hagen,"NA",Odonata,"NA",Libellulidae,1883,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Acheta oceanica,"NA",Cricket,Orthoptera,"NA",Gryllidae,1882,"NA","NA","NA","NA",Zimmerman (1948a),NA
Balta notulata,(Stal),Cockroach,Blattaria,"NA",Blattellidae,1882,"NA","NA",Indomalaya Palearctic(Asia),"NA",Bormans (1882) Annales Museo Civico Storia Naturales 'G. Doria' 18: 344.,NA
Chelisoches morio,(Fabricius),Black Earwig,Dermaptera,"NA",Chelisochidae,1882,"NA","NA",Indomalaya Oceania,"NA",Bormans (1882) Annales Museo Civico Storia Naturale 18: 340. Nishida(2002),NA
Diploptera punctata,(Eschscholtz),Beetle or Cypress roach,Blattaria,"NA",Blaberidae,1882,"NA","NA",Australasia,"NA",Blackburn (1881) Thrums Hawaiian Almanac 1882: 59,NA
Euchromius ocelleus,(Haworth),"NA",Lepidoptera,"NA",Pyralidae,1882,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Euthyrrhapha pacifica,(Coquebert),"NA",Blattaria,"NA",Polyphagidae,1882,"NA","NA","NA","NA",Bormans (1882) (as Blatta pacifica) Annales Museo Civico Storia Naturales 'G. Doria' 18: 346.,NA
Irdex pygidiatus,(Dubrony),"NA",Dermaptera,"NA",Labiidae,1882,"NA","NA",Indomalaya,"NA",Bormans (1882) (as Labia pygidiata) Annales Museo Civico Storia Naturale 18: 340. Nishida(2002),NA
Lampides boeticus,(Linnaeus),Crotalaria butterfly :  pea blue:lucerne blue,Lepidoptera,"NA",Lycaenidae,1882,"NA","NA",Palearctic(Asia) Palearctic(Europe) Australasia,"NA",Nishida(2002),NA
Laxta granicollis,(Brunner),bark cockroach: syn (Laxta pallida),Blattaria,"NA",Blaberidae,1882,"NA","NA",Australasia,"NA",Bormans (1882) Annales Museo Civico Storia Naturales 'G. Doria' 18: 345.,NA
Neostylopyga rhombifolia,(StÃ¥ll),"NA",Blattaria,"NA",Blattidae,1882,"NA","NA",Indomalaya,"NA",Perkins (1899) (as Symploce hospes) Fauna Hawaiiensis 2(1): 5.,NA
Periplaneta americana,(Linneaus),American cockroach :  American cockroach,Blattaria,"NA",Blattidae,1882,"NA","NA",Afrotropic,"NA",Blackburn (1881) Thrums Hawaiian Almanac 1882: 498,NA
Platyzosteria soror,(Brunner),"NA",Blattaria,"NA",Blattidae,1882,"NA","NA",Australasia,"NA",Bormans (1882) (as Periplaneta ligata [misidentified]) Annales Museo Civico Storia Naturales 'G. Doria' 18: 344.,NA
Ptiliodes blackburni,Matthews,"NA",Coleoptera,"NA",Ptiliidae,1882,"NA","NA","NA","NA",Matthews (1882) Cistula Entomologica 3: 41.,NA
Ptinella pacifica,Matthews,"NA",Coleoptera,"NA",Ptiliidae,1882,"NA","NA","NA","NA",Matthews (1882) Cistula Entomologica 3: 42.,NA
Pycnoscelus indicus,(Fabricius),burrowing roach,Blattaria,"NA",Pycnoscelidae,1882,"NA","NA",Palearctic(Asia),"NA",Bormans (1882) (as Panchlora surinamensis) Annales Museo Civico Storia Naturales 'G. Doria' 18: 345.,NA
Sphingolabis hawaiiensis,(Bormans),"NA",Dermaptera,"NA",Labiidae,1882,"NA","NA",Indomalaya Oceania,"NA","Bormans (1882) (as Forficula hawaiensis (sic)) Annales Museo Civico Storia Naturale 18: 341. Nishida(2002)
Hebard (1935) Dermaptera and Orthoptera from the Society Islands. Bull. Bernice P. Bishop Mus 113: 57-65.",NA
Teleogryllus oceanicus,(Le Guillou),"NA",Orthoptera,"NA",Gryllidae,1882,"NA","NA",Indomalaya Oceania Palearctic(Asia),"NA",Nishida(2002),NA
Gonocephalum adpressiforme,Kaszab,"NA",Coleoptera,"NA",Tenebrionidae,1881,"NA","NA",Indomalaya,"NA","Karsch (1881) (as Opatrum seriatum) Berliner Entomologische Zeitschrift 25: 1. Nishida(2002). Ramsdale (2006) The Coleoptera of Lehua Islet, Hawaii. BISHOP MUSEUM OCCASIONAL PAPERS 88: 30-36",NA
Monopis monachella,(Huebner),"NA",Lepidoptera,"NA",Tineidae,1881,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Necrobia ruficollis,(Fabricius),redshouldered ham beetle,Coleoptera,"NA",Cleridae,1881,"NA","NA",Indomalaya,"NA",Karsch (1881) Berliner Entomologische Zeitschrift 25: 1.,NA
Necrobia rufipes,(De Geer),"redlegged ham beetle, red-legged ham beetle:copra beetle:ham beetle",Coleoptera,"NA",Cleridae,1881,"NA","NA",Palearctic(Asia),"NA",Karsch (1881) Berliner Entomologische Zeitschrift 25: 1.,NA
Phthorimaea operculella,(Zeller),tobacco splitworm :  potato tuberworm:potato tubermoth,Lepidoptera,"NA",Gelechiidae,1881,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Saprinus lugens,Erichson,"NA",Coleoptera,"NA",Histeridae,1881,"NA","NA",Nearctic,"NA",Karsch (1881) Berliner Entomologische Zeitschrift 25: 1.,NA
Anotylus nitidifrons,(Wollaston),"NA",Coleoptera,"NA",Staphylinidae,1880,"NA","NA",Cosmopolitan,"NA","Sharp (1880) (as Oxytelus advena) Transactions of the Entomological Society of London 1880: 50. Nishida(2002)
Assing and SchÃ¼lke (2006). Systematic Catalogue of the Entomofauna from the Madeira Archipelago and Selvagens Islands: Staphylinoidea Staphylinidae (Coleoptera). CÃ¢mara Municipal do Funchal.",NA
Carpelimus fulvipes,(Erichson),"NA",Coleoptera,"NA",Staphylinidae,1880,"NA","NA",Neotropic,"NA","Sharp (1880) (as Trogophlaeus senilis) Transactions of the Entomological Society of London 1880: 51.  Nishida(2002)
Peck (2010) The beetles of the island of St. Vincent, Lesser Antilles (Insecta: Coleoptera): diversity and distributions.",NA
Peregrinus maidis,(Ashmead),Corn leafhopper :  corn planthopper: variegated cutworm,Hemiptera,"NA",Delphacidae,1880,"NA","NA",Afrotropic,"NA",Nishida(2002),NA
Pseudaletia unipuncta,(Haworth),army worm,Lepidoptera,"NA",Noctuidae,1880,"NA","NA","NA","NA",Nishida(2002),NA
Szepligetella sericea,(Cameron),"NA",Hymenoptera,"NA",Evaniidae,1880,"NA","NA",Oceania,"NA","Nishida(2002)
Townes (1958) Insects of Micronesia. Hymenpotera: Ichneumonidae Stephanidae and Evaniidae 19: 35-87.",NA
Agrotis ipsilon,(Hufnagel),Black cutworm :  black cutworm:dark sword grass moth,Lepidoptera,"NA",Noctuidae,1879,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Apis mellifera,Linnaeus,"NA",Hymenoptera,"NA",Apidae,1879,I,"NA",Palearctic(Europe) Afrotropic,"NA",Nishida(2002),NA
Camponotus sexguttatus,(Fabricius),"NA",Hymenoptera,"NA",Formicidae,1879,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Dactylosternum abdominale,(Fabricius),"NA",Coleoptera,"NA",Hydrophilidae,1879,"NA","NA",Neotropic,"NA",Sharp (1879) (as Sphaeridium abdominale) Transactions of the Entomological Society of London 1879: 83.,NA
Dactylosternum subquadratum,(Fairmaire),"NA",Coleoptera,"NA",Hydrophilidae,1879,"NA","NA",Oceania,"NA",Sharp (1879) (as Cyclonotum subquadratum) Transactions of the Entomological Society of London 1879: 83.,NA
Hypothenemus birmanus,(Eichhoff),bark beetle,Coleoptera,"NA",Curculionidae,1879,"NA","NA",Palearctic(Asia) Indomalaya,"NA",Sharp (1879) (as Hypothenemus maculicollis) Transactions of the Entomological Society of London 1879: 101.,NA
Hypothenemus eruditus,(Westwood),fig bark beetle,Coleoptera,"NA",Curculionidae,1879,"NA","NA",Neotropic,"NA",Sharp (1879) Transactions of the Entomological Society of London 1879: 102.,NA
Parapoynx fluctuosalis,(Zeller),Moth,Lepidoptera,"NA",Pyralidae,1879,"NA","NA","NA","NA",Nishida(2002),NA
Paratrechina clandestina,(Mayr),"NA",Hymenoptera,"NA",Formicidae,1879,"NA","NA",Indomalaya Oceania,"NA","Nishida(2002)
Clouse (2007) The ant of Micronesia (Hymenoptera: Formicidae). Micronesica 39: 171-295",NA
Plodia interpunctella,(HÃ¼bner),Indian meal moth :  Indian meal moth,Lepidoptera,"NA",Pyralidae,1879,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Polistes aurifer,Saussure,"NA",Hymenoptera,"NA",Vespidae,1879,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Ponera coarctata,(Latreille),"NA",Hymenoptera,"NA",Formicidae,1879,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Propalticus oculatus,Sharp,"NA",Coleoptera,"NA",Propalticidae,1879,"NA","NA",Oceania,"NA",Sharp (1879) Transactions of the Entomological Society of London 1879: 88. Gimmel (2011) World Catalogue of Propalticidae with a replacement name for Discogenia Kolbe (Coleoptera: Cucujoidea). Insecta Mundi. Paper 674,NA
Prosopeus tinctus,(Sharp),syn (Nesopetinus tinctus),Coleoptera,"NA",Nitidulidae,1879,"NA","NA","NA","NA",Sharp (1879) (as Brachypeplus tinctus) Transactions of the Entomological Society of London 1879: 83.,NA
Sceliphron caementarium,(Drury),mud-dauber,Hymenoptera,"NA",Sphecidae,1879,"NA","NA",Nearctic Neotropic,"NA",Nishida(2002),NA
Solenopsis geminata,(Fabricius),Fire ant,Hymenoptera,"NA",Formicidae,1879,"NA","NA",Afrotropic Neotropic Indomalaya,"NA",Nishida(2002),NA
Xylocopa sonorina,F. Smith,carpenter bee,Hymenoptera,"NA",Apidae,1879,"NA","NA",Neotropic,"NA","Nishida(2002)
BugGuide",NA
Carpophilus dimidiatus,(Fabricius),cornsap beetle:dried-fruit beetle,Coleoptera,"NA",Nitidulidae,1878,"NA","NA",Indomalaya,"NA",Sharp (1878) Transactions of the Entomological Society of London 1878: 138.,NA
Carpophilus hemipterus,(Linnaeus),dried-fruit beetle,Coleoptera,"NA",Nitidulidae,1878,"NA","NA",Indomalaya,"NA",Sharp (1878) (as Dermestes hemipterus) Transactions of the Entomological Society of London 1878: 138.,NA
Ceresium unicolor,(Fabricius),"NA",Coleoptera,"NA",Cerambycidae,1878,"NA","NA",Australasia,"NA",Sharp (1878) (as Stenocorus simplex) Transactions of the Entomological Society of London 1878: 203.,NA
Cimex lectularius,Linnaeus,Common Bed Bug Hawaiian name: uku-lio,Hemiptera,"NA",Cimicidae,1878,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Clerada apicicornis,Signoret,"NA",Hemiptera,"NA",Lygaeidae,1878,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Curtomerus flavus,(Fabricius),"NA",Coleoptera,"NA",Cerambycidae,1878,"NA","NA",Neotropic,"NA",Sharp (1878) (as Sotenus setiger) Transactions of the Entomological Society of London 1878: 205.,NA
Epuraea munda,(Sharp),syn (Haptoncus mundus),Coleoptera,"NA",Nitidulidae,1878,"NA","NA",Australasia,"NA",Sharp (1878) Transactions of the Entomological Society of London 1878: 139. Ewing et al (2004) New records and taxonomic updates for adventive sap beetles (Coleoptera: Nitidulidae) in Hawaii. BISHOP MUSEUM OCCASIONAL PAPERS 79: 24-27,NA
Epuraea ocularis,Fairmaire,syn (Haptoncus ocularis),Coleoptera,"NA",Nitidulidae,1878,"NA","NA",Oceania,"NA",Sharp (1878) (as Haptoncus tetragonus) Transactions of the Entomological Society of London 1878: 139.,NA
Gelonaetha hirta,(Fairmaire),"NA",Coleoptera,"NA",Cerambycidae,1878,"NA","NA",Oceania,"NA",Sharp (1878) (as Astrimus hirtus) Transactions of the Entomological Society of London 1878: 204.,NA
Geotomus pygmaeus,(Dallas),oceanic burrower bug,Hemiptera,"NA",Cydnidae,1878,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Lagocheirus araneiformis,(Linnaeus),"NA",Coleoptera,"NA",Cerambycidae,1878,"NA","NA",Oceania,"NA",Sharp (1878) (as Lagochirus araneiformis) Transactions of the Entomological Society of London 1878: 210.,NA
Lagocheirus undatus,(Voet),plumeria borer,Coleoptera,"NA",Cerambycidae,1878,"NA","NA",Nearctic Neotropic,"NA","Sharp (1878) (as Archlagocheirus obsoletus) Transactions of the Entomological Society of London 1878: 210. 
http://en.wikipedia.org/wiki/Lagocheirus_undatus",NA
Oopsis nutator,(Fabricius),"NA",Coleoptera,"NA",Cerambycidae,1878,"NA","NA",Oceania Australasia,"NA",Sharp (1878) Transactions of the Entomological Society of London 1878: 210.,NA
Pentarthrum blackburni,Sharp,"NA",Coleoptera,"NA",Curculionidae,1878,"NA","NA",Nearctic,"NA","Sharp (1878) Transactions of the Entomological Society of London 1878: 26. 
http://en.wikipedia.org/wiki/Pentarthrum_blackburni",NA
Prosoplus bankii,(Fabricius),"NA",Coleoptera,"NA",Cerambycidae,1878,"NA","NA",Indomalaya,"NA",Sharp (1878) (as Micracantha nutans) Transactions of the Entomological Society of London 1878: 209.,NA
Remaudiereana nigriceps,(Dallas),"NA",Hemiptera,"NA",Lygaeidae,1878,"NA","NA",Australasia,"NA",Nishida(2002),NA
Trichocorixa reticulata,(Guerin-Meneville),"NA",Hemiptera,"NA",Corixidae,1878,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Vanessa virginiensis,(Drury),"NA",Lepidoptera,"NA",Nymphalidae,1878,"NA","NA",Nearctic,"NA","Nishida(2002)
http://edis.ifas.ufl.edu/in823",NA
Xyleborus affinis,Eichhoff,"NA",Coleoptera,"NA",Curculionidae,1878,"NA","NA",Neotropic,"NA",Eichhoff (1878) (as X. affinis mascarensis) MÃ©moires de la SociÃ©tÃ© Royale des Sciences de LiÃ¨ge (2)8: 372.,NA
Agrius cingulata,(Fabricius),"NA",Lepidoptera,"NA",Sphingidae,1877,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Autosticha pelodes,(Meyrick),"NA",Lepidoptera,"NA",Oecophoridae,1877,"NA","NA","NA","NA",Nishida(2002),NA
Cadra cautella,(Walker),almond moth,Lepidoptera,"NA",Pyralidae,1877,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Chrysodeixis eriosoma,(Doubleday),Garden measuring worm :  NA,Lepidoptera,"NA",Noctuidae,1877,"NA","NA",Australasia,"NA",Nishida(2002),NA
Endynomena pradieri,(Fairmaire),"NA",Coleoptera,"NA",Carabidae,1877,"NA","NA",Indomalaya Oceania,"NA",Blackburn (1877) (as Saronychium inconspicuum) Entomologists Monthly Magazine (1)14: 142. Darlington Jr (1970) Coleoptera: Carabidae Including Cicindelinae. Insect of Micronesia 1: 49,NA
Hyles lineata,(Fabricius),Whitelined sphinx moth,Lepidoptera,"NA",Sphingidae,1877,"NA","NA","NA","NA",Nishida(2002),NA
Ploiaria insolida,(White),Thread-legged bug,Hemiptera,"NA",Reduviidae,1877,"NA","NA","NA","NA",Nishida(2002),NA
Simplicia caeneusalis,(Walker),"NA",Lepidoptera,"NA",Noctuidae,1877,"NA","NA",Australasia Indomalaya,"NA",Nishida(2002),NA
Spodoptera exempta,(Walker),Grass army worm,Lepidoptera,"NA",Noctuidae,1877,"NA","NA",Afrotropic,"NA","Nishida(2002)
Tucker (1984) Possible sources of outbreaks of the armyworm Spodoptera exempta (Walker) (Lepidoptera: Noctuidae) in East Africa at the beginning of the season. Bulletin of Entomological Research 74: 599â€“608",NA
Spoladea recurvalis,(Fabricus),beet webworm:Hawaiian beet webmoth,Lepidoptera,"NA",Pyralidae,1877,"NA","NA",Indomalaya Afrotropic,"NA",Nishida(2002),NA
Musca domestica,Linnaeus,House fly :  house fly,Diptera,"NA",Muscidae,1869,"NA","NA",Palearctic(Asia) Afrotropic,"NA",Thomson (1869) (as Musca flavinervis) Kongliga Svenska Fregatten Eugenies resa 2(1)12: 547. Nishida(2002),NA
Parasarcophaga misera,"NA",Flesh fly,Diptera,"NA",Sarcophagidae,1869,"NA","NA","NA","NA",Hardy (1981),NA
Ravinia lherminieri,Robineau-Desvoidy,"NA",Diptera,"NA",Sarcophagidae,1869,"NA","NA","NA","NA",Boheman (1869) (as Sarcophaga pallinervis) Kongliga Svenska Fregatten Eugenies resa 2(1)12: 535. Nishida(2002),NA
Sarcophaga argyrostoma,(Robineau-Desvoidy),"NA",Diptera,"NA",Sarcophagidae,1869,"NA","NA","NA","NA",Thomson (1869) (as Sarcophaga barbata) Kongliga Svenska Fregatten Eugenies resa 2(1)12: 533. Nishida(2002),NA
Sarcophaga dux,Thomson,"NA",Diptera,"NA",Sarcophagidae,1869,"NA","NA","NA","NA",Thomson (1869) Kongliga Svenska Fregatten Eugenies resa 2(1)12: 534. Nishida(2002),NA
Carpophilus maculatus,Murray,"NA",Coleoptera,"NA",Nitidulidae,1864,"NA","NA","NA","NA",Murray (1864) Transactions of the Linnaean Society of London (1)24: 372.,NA
Oxydema longulum,(Boheman),"NA",Coleoptera,"NA",Curculionidae,1859,"NA","NA",Oceania,"NA",Boheman (1859) (as Rhyncolus longulus) Kongliga Svenska Fregatten Eugenies resa 2(1)6: 149.,NA
Phloeophagosoma tenuis,(Gemminger),"NA",Coleoptera,"NA",Curculionidae,1859,"NA","NA","NA","NA",Boheman (1859) (as Rhyncolus gracilis) Kongliga Svenska Fregatten Eugenies resa 2(1)6: 150.,NA
Calophya rubra,(Blanchard),"NA",Hemiptera,"NA",Psyllidae,1852,"NA","NA","NA","NA",Nishida(2002),NA
Siphanta acuta,(Walker),old world wood wasp: torpedo bug,Hemiptera,"NA",Flatidae,1851,"NA","NA",Australasia,"NA",Nishida(2002),NA
Amyrsidea fulvomaculata,(Denny),"NA",Mallophaga,"NA",Menoponidae,1842,"NA","NA","NA","NA",Nishida(2002),NA
Vanessa cardui,(Linnaeus),Painted lady,Lepidoptera,"NA",Nymphalidae,1758,"NA","NA",Palearctic(Europe) Afrotropic,"NA",Nishida(2002),NA
Acerophagus pallidus,"NA",Parasitoid wasp,Hymenoptera,"NA",Encyrtidae,NA,I,"NA","NA","NA",Nishida (2002),NA
Acmopolynema uma,"NA",Fairyfly,Hymenoptera,"NA",Mymaridae,NA,"NA","NA","NA","NA",Nishida (2002),NA
