species,year,genus_species,source,Order,Family,Genus,Mode of introduction,Establishment indoors/outdoors,Eradicated after the initial establishment
Balclutha aridula Linnavuori,1989,Balclutha aridula,"Causton, 2006",NA,NA,NA,NA,NA,NA
Balclutha incisa (Matsumura),1990,Balclutha incisa,"Causton, 2006",NA,NA,NA,NA,NA,NA
Balclutha lucida (Butler),1989,Balclutha lucida,"Causton, 2006",NA,NA,NA,NA,NA,NA
Balclutha neglecta (DeLong & Davidson),1989,Balclutha neglecta,"Causton, 2006",NA,NA,NA,NA,NA,NA
Balclutha rosea (Scott),2001,Balclutha rosea,"Causton, 2006",NA,NA,NA,NA,NA,NA
Cicadulina tortilla Caldwell,1990,Cicadulina tortilla,"Causton, 2006",NA,NA,NA,NA,NA,NA
Circulifer tenellus (Baker),1989,Circulifer tenellus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Coelidiana krameri Freytag,1990,Coelidiana krameri,"Causton, 2006",NA,NA,NA,NA,NA,NA
Empoasca canavalia DeLong,1989,Empoasca canavalia,"Causton, 2006",NA,NA,NA,NA,NA,NA
Exitanius fasciolatus (Melichar),1932,Exitanius fasciolatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Jikradia galapagoensis (Osborn),2001,Jikradia galapagoensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Macrosteles fascifrons (St̴l.),1989,Macrosteles fascifrons,"Causton, 2006",NA,NA,NA,NA,NA,NA
Protolebrella brasiliensis,2001,Protolebrella brasiliensis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Xestocephalus desertorum (Berg),1989,Xestocephalus desertorum,"Causton, 2006",NA,NA,NA,NA,NA,NA
Peregrinus maidis (Ashmead),1964,Peregrinus maidis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sogatella kolophon Kirkaldy,1964,Sogatella kolophon,"Causton, 2006",NA,NA,NA,NA,NA,NA
Syndelphax dissipatus Muir,1964,Syndelphax dissipatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Toya propinqua Fieber,2003,Toya propinqua,"Causton, 2006",NA,NA,NA,NA,NA,NA
Neomegalotomus parvus (Westwood),2001,Neomegalotomus parvus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Alofa sodalis (White),1964,Alofa sodalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Amphiareus constricta (St̴l.),1964,Amphiareus constricta,"Causton, 2006",NA,NA,NA,NA,NA,NA
"Xylocoris sp., pirate bug6",1969,"Xylocoris sp.,","Causton, 2006",NA,NA,NA,NA,NA,NA
Cimex lectularis L.,1925,Cimex lectularis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Anasa scorbutica (F.),1969,Anasa scorbutica,"Causton, 2006",NA,NA,NA,NA,NA,NA
Vazuezitocoris andinus Brailovsky,1996,Vazuezitocoris andinus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Prytanes confusus (Barber),1989,Prytanes confusus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Engytatus modestus (Distant),1991,Engytatus modestus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Halticus bractatus (Say),2001,Halticus bractatus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Horcias lacteiclavus Distant,1964,Horcias lacteiclavus,"Causton, 2006",NA,NA,NA,NA,NA,NA
Sthenaridea vulgaris (Distant),1992,Sthenaridea vulgaris,"Causton, 2006",NA,NA,NA,NA,NA,NA
Taylorilygus apicalis (Fieber),1964,Taylorilygus apicalis,"Causton, 2006",NA,NA,NA,NA,NA,NA
Tytthus parviceps (Reuter),1970,Tytthus parviceps,"Causton, 2006",NA,NA,NA,NA,NA,NA
Alcaeorrhynchus grandis (Dallas),1934,Alcaeorrhynchus grandis,"Causton, 2006",NA,NA,NA,NA,NA,NA
