order,family,genus,species,genus.species,original.species.name,name.changed...1.yes..0..no.,tsn,rank,year,super.family,town,NZ.region,nz.area.code,origin,ecozone,current.distribution.cosmopolitan.,phagy,phagy.main,feeding.type,feeding.main,size.mm.,comment,eradicated,Intentional_Release,source,vagrant
Coleoptera,Bostrichidae,Rhyzopertha,dominica,Rhyzopertha dominica,Rhyzopertha dominica,0,187464,Species,1923,Bostrichoidea,Tauranga,Bay of Plenty,BP,Tropics,Cosmopolitan,Yes,polyphagous,Polyphagous,herbivore,Herbivore,3.8,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Cicadellidae,Ribautiana,tenerrima,Ribautiana tenerrima,Ribautiana tenerrima,0,NA,Species,1949,Membracoidea,Auckland,Auckland,Ak,Europe,Palearctic,Yes,polyphagous,Polyphagous,herbivore,Herbivore,3,NA,NA,NA,"Edney-Browne, 2018",NA
Blattodea,Blattellidae,Robshelfordia,circumducta,Robshelfordia circumducta,Robshelfordia circumducta,0,NA,Species,2005,NA,Napier,Hawke's Bay,HB,Australia,Australasia,No,polyphagous,Polyphagous,saprophagous,Saprophagous,12,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Coccinellidae,Rodolia,koebelei,Rodolia koebelei,Rodolia koebelei,0,NA,Species,2003,Cucujoidea,Auckland,Auckland,AK,Australia,Australasia,No,monophagous,Monophagous,predator,Predator,3.4,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Staphylinidae,Rugilis,orbiculatus,Rugilis orbiculatus,Rugilis orbiculatus,0,NA,Species,1965,Staphylinoidea,Nelson,Nelson- Tasman,NN,Europe,Palearctic,Yes,NA,NA,predator,Predator,5,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Lucanidae,Ryssonotus,nebulosus,Ryssonotus nebulosus,Ryssonotus nebulosus,0,NA,Species,1954,Scarabaeoidea,Gisborne,Gisborne,GB,Australia,Australasia,No,polyphagous,Polyphagous,herbivore,Herbivore,23,NA,NA,NA,"Edney-Browne, 2018",NA
Phthiraptera,Philopteridae,Saemundssonia,antarctica,Saemundssonia antarctica,Saemundssonia antarctica,0,NA,Species,NA,Ischnocera,NA,NA,NA,NA,NA,NA,NA,NA,parasite,Parasite,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Coccidae,Saissetia,coffeae,Saissetia coffeae,Saissetia coffeae,0,200880,Species,1879,Coccoidea,NA,NA,NA,Pantropical,Cosmopolitan,Yes,polyphagous,Polyphagous,herbivore,Herbivore,2,NA,NA,NA,"Edney-Browne, 2018",NA
Hemiptera,Coccidae,Saissetia,oleae,Saissetia oleae,Saissetia oleae,0,200883,Species,1885,Coccoidea,NA,NA,NA,Africa,Afrotropic,Yes,polyphagous,Polyphagous,herbivore,Herbivore,4,NA,NA,NA,"Edney-Browne, 2018",NA
Orthoptera,Tettigoniidae,Salomona,solida,Salomona solida,Salomona solida,0,NA,Species,NA,NA,NA,NA,NA,Australia,Australasia,No,NA,NA,NA,NA,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Anthicidae,Sapintus,argenteofasciatus,Sapintus argenteofasciatus,Sapintus argenteofasciatus,0,NA,Species,2010,Tenebrionoidea,Nelson,Nelson- Tasman,NN,Australia,Australasia,No,polyphagous,Polyphagous,omnivore,Omnivore,NA,NA,NA,NA,"Edney-Browne, 2018",NA
Coleoptera,Anthicidae,Sapintus,NA,Sapintus rarus,NA,NA,NA,Species,NA,NA,NA,North Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Synonyms: Sapintus deitzi,NA,NA,"Telnov, 2014",NA
Coleoptera,Scarabaeidae,Saprosites,mendax,Saprosites mendax,Saprosites mendax,0,NA,Species,1943,Scarabaeoidea,Auckland,Auckland,AK,Australia,Australasia,No,polyphagous,Polyphagous,saprophagous,Saprophagous,3.3,NA,NA,NA,"Edney-Browne, 2018",NA
Diptera,Sarcophagidae,Sarcophaga,bifrons,Sarcophaga bifrons,Sarcophaga bifrons,0,NA,Species,NA,Schizophora,NA,NA,NA,Australia,Australasia,No,polyphagous,Polyphagous,carrion,Carrion,NA,NA,NA,NA,"Edney-Browne, 2018",NA
