GENUS_SPECIES,Authority,COMMON.NAME,JP NAME,Pest Type,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Attagenus fasciatus,(Thunberg),NA,オビヒメカツオブシムシ,Stored,Coleoptera,NA,Dermestidae,1985,NA,DryA,Palearctic(Asia) Neotropic,"Yamanaka, 2015"
Dermestes ater,DeGeer,black larder beetle:hide beetle,トビカツオブシムシ,Stored,Coleoptera,NA,Dermestidae,NA,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Dermestes frischi,Kugelann,NA,フイリカツオブシムシ,Stored,Coleoptera,NA,Dermestidae,NA,NA,DryA,Palearctic(Asia),"Yamanaka, 2015"
Dermestes maculatus,(De Geer),Hide beetle :  hide beetle:leather beetle:common hide beetle,ハラジロカツオブシムシ,Stored,Coleoptera,NA,Dermestidae,NA,NA,DryA,Palearctic(Asia) Palearctic(Europe) Indomalaya,"Yamanaka, 2015"
Carcinops pumilio,(Erichson),NA,クロチビエンマムシ,Stored,Coleoptera,NA,Histeridae,NA,NA,Stored,Palearctic(Asia),"Yamanaka, 2015"
Placonotus testaceus,NA,NA,カドムネチビヒラタムシ,Stored,Coleoptera,NA,Laemophloeidae,NA,NA,Seeds,Nearctic,"Yamanaka, 2015"
Dorcus titanus,(Boisduval),NA,ヒラタクワガタ,NA,Coleoptera,NA,Lucanidae,2010,I,Wood,Palearctic(Asia),"Yamanaka, 2015"
Prosopocoilus inclinatus,(Motschulsky),NA,ノコギリクワガタ,NA,Coleoptera,NA,Lucanidae,2001,I,Wood,Palearctic(Asia),"Yamanaka, 2015"
Carpophilus dimidiatus,(Fabricius),cornsap beetle:dried-fruit beetle,ガイマイデオキスイ,Stored,Coleoptera,NA,Nitidulidae,NA,NA,Seeds,Indomalaya,"Yamanaka, 2015"
Carpophilus freemani,Dobson,NA,ウスチャデオキスイ,Stored,Coleoptera,NA,Nitidulidae,NA,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Carpophilus hemipterus,(Linnaeus),dried-fruit beetle,クリヤケシキスイ,Stored,Coleoptera,NA,Nitidulidae,NA,NA,Seeds,Indomalaya,"Yamanaka, 2015"
Carpophilus marginellus,Motschulsky,NA,クリイロデオキスイ,Stored,Coleoptera,NA,Nitidulidae,1957,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
