genus_species,AUTHORITY,ORDER,FAMILY,Year,Origin,notes,COMMON NAME/S,Intentional_Release,source
Abragrallaspis cyanophylli,Signoret,Hemiptera,Diaspididae,1912,S.America,NA,NA,NA,TBA
Acanthoscelides macrophthalamus,Schaeffer,Coleoptera,Chrysomelidae,1996,NA,biocontrol agent??,NA,Y,TBA
Acanthoscelides obtectus,(Say),Coleoptera,Chrysomelidae,1901,NA,NA,NA,NA,TBA
Acheta domesticus,Linnaeus,Orthoptera,Gryllidae,1941,NA,NA,NA,NA,TBA
Achroia grisella,Fabricius,Lepidoptera,Pyralidae,1902,NA,NA,NA,NA,TBA
Acyrthosiphon kondoi,Shinji,Hemiptera,Aphididae,1923,NA,NA,NA,NA,TBA
Acyrthosiphon malvae,Mosley,Hemiptera,Aphididae,1960,NA,NA,NA,NA,TBA
Acyrthosiphon pisum,Harris,Hemiptera,Aphididae,1948,NA,NA,NA,NA,TBA
Acyrthosiphon primulae,Theobald,Hemiptera,Aphididae,1947,NA,NA,NA,NA,TBA
Adelges cooleyi,Gillette,Hemiptera,Adelgidae,1921,N.America,NA,NA,NA,"Nahrung, 2020"
Adelges nordmannianae,Eckstein,Hemiptera,Adelgidae,1901,Asia,(sensu lato),NA,NA,TBA
Aethina tumida,Murray,Coleoptera,Nitidulidae,2002,NA,NA,NA,NA,TBA
Aglossa caprealis,Hubner,Lepidoptera,Pyralidae,1958,NA,NA,NA,NA,TBA
Agrius convolvuli,Linnaeus,Lepidoptera,Sphingidae,1930,NA,NA,NA,NA,TBA
Agrotis ipsilon,Hufnagel,Lepidoptera,Noctuidae,1926,NA,NA,NA,NA,TBA
Ahasverus advena,(Waltl),Coleoptera,Silvanidae,1904,NA,NA,NA,NA,TBA
Aiolopus thalassinus,Fabricius,Orthoptera,Acrididae,1937,NA,NA,NA,NA,TBA
Aleurocanthus spiniferus,(Quaintance),Hemiptera,Aleyrodidae,1983,NA,NA,NA,NA,TBA
Aleuroctarthrus destructor,(Mackie),Hemiptera,Aleyrodidae,1920,NA,NA,NA,NA,TBA
Aleurodicus dispersus,Russell,Hemiptera,Aleyrodidae,1954,S.America,NA,NA,NA,"Nahrung, 2020"
Aleurolobus marlatti,(Quaintance),Hemiptera,Aleyrodidae,2005,NA,NA,NA,NA,TBA
Aleyrodes proletella,Linnaeus,Hemiptera,Aleyrodidae,1998,NA,NA,NA,NA,TBA
Aloephagus myersi,Essig,Hemiptera,Aphididae,1983,NA,NA,NA,NA,TBA
Alphitobius diaperinus,(Panzer),Coleoptera,Tenebrionidae,1903,NA,NA,NA,NA,TBA
