genus_species,AUTHORITY,ORDER,FAMILY,Year,Origin,notes,COMMON NAME/S,Intentional_Release,source
Pseudaulacaspis pentagona,Targioni,Hemiptera,Diaspididae,1889,Asia,NA,NA,NA,"Nahrung, 2020"
Pseudococcus cryptus,(Hempel),Hemiptera,Pseudococcidae,2007,NA,NA,NA,NA,TBA
Pseudococcus jackbeardsleyi,Gimpel & Miller,Hemiptera,Pseudococcidae,2004,NA,NA,NA,NA,TBA
Pseudococcus viburni,"Maskell, 1875",Hemiptera,Pseudococcidae,1895,S.America,NA,NA,NA,"Nahrung, 2020"
Psocathropos microps,(Enderlein),Psocoptera,Psyllipsocidae,NA,NA,NA,NA,NA,TBA
Psorosticha zizyphi,Stainton,Lepidoptera,Oecophoridae,1966,NA,NA,NA,NA,TBA
Psyllopsis fraxini,(Linneaus),Hemiptera,Psyllidae,1942,Europe,NA,NA,NA,"Nahrung, 2020"
Psyllopsis fraxinicola,(Foerster),Hemiptera,Psyllidae,2003,Europe,NA,NA,NA,"Nahrung, 2020"
Pterocallis alni,De Geer,Hemiptera,Aphididae,NA,NA,NA,NA,NA,TBA
Ptilinus pectinicornis,(Linneaus),Coleoptera,Anobiidae,1994,NA,NA,NA,NA,TBA
Ptinus exulans,Erichson,Coleoptera,Anobiidae,1930,NA,NA,NA,NA,TBA
Ptinus fur,"(Linnaeus, 1758)",Coleoptera,Anobiidae,1939,NA,NA,NA,NA,TBA
Ptinus latro,"Fabricius, 1775",Coleoptera,Anobiidae,1957,NA,NA,NA,NA,TBA
Pulvinaria floccifera,Westwood,Hemiptera,Coccidae,1889,NA,NA,NA,NA,TBA
Pulvinaria hydrangeae,Steinweden,Hemiptera,Coccidae,1957,NA,NA,NA,NA,TBA
Pulvinaria polygonata,Cockerell,Hemiptera,Coccidae,1916,NA,NA,NA,NA,TBA
Pulvinaria psidii,Maskell,Hemiptera,Coccidae,1914,NA,NA,NA,NA,"Nahrung, 2020"
Pulvinaria urbicola,Cockerell,Hemiptera,Coccidae,1939,NA,NA,NA,NA,"Nahrung, 2020"
Pulvinariella mesembryanthemi,Vallot,Hemiptera,Coccidae,1980,NA,NA,NA,NA,TBA
Pyralis farinalis,"Linnaeus, 1758",Lepidoptera,Pyralidae,1842,NA,NA,NA,NA,TBA
Recilia dorsalis,Motschulsky,Hemiptera,Cicadellidae,1980,NA,NA,NA,NA,TBA
Reesa vespulae,"(Milliron, 1939)",Coleoptera,Dermestidae,1969,NA,NA,NA,NA,TBA
Rhabdoscelus interstitialis,(Bohemnan),Coleoptera,Curculionidae,1859,NA,NA,NA,NA,TBA
Rhabdoscelus obscurus,Boisduval,Coleoptera,Curculionidae,1893,NA,NA,NA,NA,TBA
Eriococcus coccineus,Cockerell,Hemiptera,Eriococcidae,1952,NA,NA,NA,NA,TBA
Rhizoecus dianthi,(Green),Hemiptera,Rhizoecidae,1980,NA,NA,NA,NA,TBA
Rhizoecus falcifer,KÃ¼nckel d'Herculais,Hemiptera,Rhizoecidae,1961,Europe,NA,NA,NA,"Nahrung, 2020"
Rhodobium porosum,Sanderson,Hemiptera,Aphididae,1967,NA,NA,NA,NA,TBA
Rhopalomyia chrysanthemi,Ahlberg,Diptera,Cecidomyiidae,1977,NA,NA,NA,NA,TBA
Rhopalosiphoninus latysiphon,Davidson,Hemiptera,Aphididae,1962,NA,NA,NA,NA,TBA
Rhopalosiphoninus staphyleae,Koch,Hemiptera,Aphididae,1960,NA,NA,NA,NA,TBA
Rhopalosiphum insertum,"(Walker, 1849)",Hemiptera,Aphididae,1988,NA,NA,NA,NA,TBA
Rhopalosiphum maidis,"(Fitch, 1856)",Hemiptera,Aphididae,1931,NA,NA,NA,NA,TBA
Rhopalosiphum nymphaeae,Linnaeus,Hemiptera,Aphididae,1928,NA,NA,NA,NA,TBA
Rhopalosiphum padi,"(Linnaeus, 1758)",Hemiptera,Aphididae,1905,NA,NA,NA,NA,TBA
Rhopalosiphum rufiabdominale,"(Sasaki, 1899)",Hemiptera,Aphididae,1933,NA,NA,NA,NA,TBA
Rhyzopertha dominica,"(Fabricius, 1792)",Coleoptera,Bostrichidae,1906,NA,NA,NA,NA,TBA
Ribautiana ulmi,(Linneaus),Hemiptera,Cicadellidae,1986,Europe,NA,NA,NA,"Nahrung, 2020"
Saissetia coffeae,"(Walker, 1852)",Hemiptera,Coccidae,1899,NA,NA,NA,NA,"Nahrung, 2020"
Saissetia miranda,(Cockerll & Parrott),Hemiptera,Coccidae,1922,Africa,NA,NA,NA,"Nahrung, 2020"
Saissetia oleae,"(Olivier, 1791)",Hemiptera,Coccidae,1902,Africa,NA,NA,NA,"Nahrung, 2020"
Samia cynthia,Drury,Lepidoptera,Saturniidae,NA,NA,NA,NA,NA,TBA
Scapteriscus didactylus,Latreille,Orthoptera,Gryllidae,1982,NA,NA,NA,NA,TBA
Scaptomyza flava,(FallÃ©n),Diptera,Drosophilidae,1976,NA,NA,NA,NA,TBA
Schizocerella pilicornis,Holmgren,Hymenoptera,Argidae,1930,NA,NA,NA,NA,TBA
Scirpophaga innotata,Walker,Lepidoptera,Pyralidae,1955,NA,NA,NA,NA,TBA
Scolytogenes darwini,Eichoff,Coleoptera,Curculionidae,1932,NA,NA,NA,NA,TBA
Scolytogenes uncatus,(Schedl),Coleoptera,Curculionidae,1972,NA,NA,NA,NA,TBA
Scolytus multistriatus,(Marsham),Coleoptera,Curculionidae,1974,Europe,NA,NA,NA,"Nahrung, 2020"
Shinjia orientalis,Mordvilko,Hemiptera,Aphididae,1925,NA,NA,NA,NA,TBA
Shivaphis celti,(Essig & Kuwana),Hemiptera,Aphididae,2013,Asia,NA,NA,NA,"Nahrung, 2020"
Silvanoprus scuticollis,Walker: 1859,Coleoptera,Silvanidae,NA,NA,NA,NA,NA,TBA
Silvanus unidentatus,(Olivier),Coleoptera,Silvanidae,1892,NA,NA,NA,NA,TBA
Sinoxylon anale,Lesne,Coleoptera,Bostrichidae,1955,Asia,NA,NA,NA,"Nahrung, 2020"
Siphoninus phillyreae,(Haliday),Hemiptera,Aleyrodidae,1998,NA,NA,NA,NA,TBA
Sirex noctilio,Fabricius,Hymenoptera,Siricidae,1951,Eurasia,NA,NA,NA,"Nahrung, 2020"
Sitobion fragariae,(Walker),Hemiptera,Aphididae,2009,NA,NA,NA,NA,TBA
Sitobion luteum,Buckton,Hemiptera,Aphididae,1961,NA,NA,NA,NA,TBA
Sitobion miscanthi,"(Takahashi, 1921)",Hemiptera,Aphididae,1923,NA,NA,NA,NA,TBA
Sitona discoideus,Gyllenhal,Coleoptera,Curculionidae,1954,NA,NA,NA,NA,TBA
Sitophilus granarius,"(Linnaeus, 1758)",Coleoptera,Curculionidae,1909,NA,NA,NA,NA,TBA
Sitophilus linearis,Herbst,Coleoptera,Curculionidae,1967,NA,NA,NA,NA,TBA
Sitophilus oryzae,"(Linnaeus, 1763)",Coleoptera,Curculionidae,1809,NA,NA,NA,NA,TBA
Sitophilus zeamais,Motschulsky,Coleoptera,Curculionidae,1896,NA,NA,NA,NA,TBA
Sitotroga cerealella,"(Olivier, 1789)",Lepidoptera,Gelechiidae,1901,NA,NA,NA,NA,TBA
Smicronyx lutulentus,Dietz,Coleoptera,Curculionidae,1981,NA,NA,NA,NA,TBA
Smittia aterrima,Meigen,Diptera,Chironomidae,1922,NA,NA,NA,NA,TBA
Smynthurodes betae,Westwood,Hemiptera,Aphididae,1923,NA,NA,NA,NA,TBA
Sphaericus gibboides,"(Boieldieu, 1854)",Coleoptera,Anobiidae,NA,NA,NA,NA,NA,TBA
Sphenarches anisodactylus,Walker,Lepidoptera,Pterophoridae,1971,NA,NA,NA,NA,TBA
Sphenophorus brunnipennis,Germar,Coleoptera,Curculionidae,1916,NA,NA,NA,NA,TBA
Spilococcus mamillariae,BouchÃ©,Hemiptera,Pseudococcidae,1931,NA,NA,NA,NA,TBA
Spodoptera exempta,"(Walker, 1856)",Lepidoptera,Noctuidae,1911,NA,NA,NA,NA,TBA
Spodoptera exigua,HÃ¼bner,Lepidoptera,Noctuidae,1903,NA,NA,NA,NA,TBA
Spodoptera frugiperda,(JE Smith),Lepidoptera,Noctuidae,2020,NA,NA,NA,NA,TBA
Spodoptera litura,"(Fabricius, 1775)",Lepidoptera,Noctuidae,1903,NA,NA,NA,NA,TBA
Spulerina isonoma,Meyrick,Lepidoptera,Gracillariidae,1998,NA,NA,NA,NA,TBA
Stegobium paniceum,"(Linnaeus, 1758)",Coleoptera,Anobiidae,1915,NA,NA,NA,NA,TBA
Stephanitis pyrioides,Scott,Hemiptera,Tingidae,1972,NA,NA,NA,NA,TBA
Sternochetus mangiferae,Fabricius,Coleoptera,Curculionidae,1835,NA,NA,NA,NA,TBA
Stromatium longicorne,Newman,Coleoptera,Cerambycidae,1956,NA,NA,NA,NA,TBA
Sueus niisimai,(Eggers),Coleoptera,Curculionidae,1989,NA,NA,NA,NA,TBA
Symmetrischema tangolias,(Gyen),Lepidoptera,Gelechiidae,1914,NA,NA,NA,NA,TBA
Symonicoccus australis,Maskell,Hemiptera,Coccidae,1955,NA,NA,NA,NA,TBA
Synanthedon tipuliformis,Clerck,Lepidoptera,Sesiidae,1939,NA,NA,NA,NA,TBA
Takecallis arundinariae,(Essig),Hemiptera,Aphididae,2008,NA,NA,NA,NA,TBA
Taylorilygus pallidulus,(Blanchard),Hemiptera,Miridae,1940,NA,synonym of Taylorilygus apicalis,NA,NA,TBA
Tectocoris diophthalmus,Thunberg,Hemiptera,Scutelleridae,1906,NA,NA,NA,NA,TBA
Temnorrhynchus retusus,Fabricius,Coleoptera,Scarabaeidae,1985,NA,NA,NA,NA,TBA
Tenebrio molitor,"Linnaeus, 1758",Coleoptera,Tenebrionidae,1901,NA,NA,NA,NA,TBA
Tenebrio obscurus,"Fabricius, 1792",Coleoptera,Tenebrionidae,1904,NA,NA,NA,NA,TBA
Tenebroides mauritanicus,"(Linnaeus, 1758)",Coleoptera,Trogossitidae,1900,NA,NA,NA,NA,TBA
Therioaphis trifolii,Monell,Hemiptera,Aphididae,1977,NA,(sensu lato),NA,NA,TBA
Thylodrias contractus,Motschulsky,Coleoptera,Dermestidae,1977,NA,NA,NA,NA,TBA
Thysanoplusia orichalcea,"(Fabricius, 1775)",Lepidoptera,Noctuidae,1976,NA,NA,NA,NA,TBA
Tinea pallescentella,"Stainton, 1851",Lepidoptera,Tineidae,1998,NA,NA,NA,NA,TBA
Tinea pellionella,"Linnaeus, 1758",Lepidoptera,Tineidae,1950,NA,NA,NA,NA,TBA
Tineola bisselliella,"(Hummel, 1823)",Lepidoptera,Tineidae,1936,NA,NA,NA,NA,TBA
Tinocallis ulmiparvifoliae,Matsumara,Hemiptera,Aphididae,1920,Asia,NA,NA,NA,"Nahrung, 2020"
Tiracola plagiata,Walker,Lepidoptera,Noctuidae,1920,NA,NA,NA,NA,TBA
Torymus varians,Walker,Hymenoptera,Torymidae,NA,NA,NA,NA,NA,TBA
Toxoptera aurantii,"(Boyer de Fonscolombe, 1841)",Hemiptera,Aphididae,1920,NA,NA,NA,NA,TBA
Toxoptera citricida,"(Kirkaldy, 1907)",Hemiptera,Aphididae,1902,NA,synonym of Aphis tavaresi 2008,NA,NA,TBA
Tremex fuscicornis,(Fabricius),Hymenoptera,Siricidae,1996,Eurasia,NA,NA,NA,"Nahrung, 2020"
Trialeurodes vaporariorum,"(Westwood, 1856)",Hemiptera,Aleyrodidae,1959,NA,NA,NA,NA,TBA
Tribolium castaneum,"(Herbst, 1797)",Coleoptera,Tenebrionidae,1924,NA,NA,NA,NA,TBA
Tribolium confusum,"Jacquelin du Val, 1868",Coleoptera,Tenebrionidae,1902,NA,NA,NA,NA,TBA
Tricorynus herbarius,(Gorham: 1883),Coleoptera,Anobiidae,NA,NA,NA,NA,NA,TBA
Trigonogenius globulus,"Solier, 1849",Coleoptera,Anobiidae,1940,NA,NA,NA,NA,TBA
Trigonotylus tenuis,(Reuter),Hemiptera,Miridae,1952,NA,NA,NA,NA,TBA
Trionymus diminutus,(Leonardi),Hemiptera,Pseudococcidae,1937,NA,NA,NA,NA,TBA
Trogium pulsatorium,Linnaeus,Psocoptera,Trogiidae,2007,NA,NA,NA,NA,TBA
Trogoderma inclusum,Le Conte,Coleoptera,Dermestidae,1975,NA,NA,NA,NA,TBA
Trogoderma variabile,Ballion,Coleoptera,Dermestidae,1979,NA,NA,NA,NA,TBA
Tuberculatus annulatus,(Hartig),Hemiptera,Aphididae,1938,Europe,NA,NA,NA,"Nahrung, 2020"
Tuberolachnus salignus,Gmelin,Hemiptera,Aphididae,2010,Asia,NA,NA,NA,"Nahrung, 2020"
Typhaea stercorea,(Linnaeus),Coleoptera,Mycetophagidae,1924,NA,NA,NA,NA,TBA
Tytthus chinensis,StÃ¥l,Hemiptera,Miridae,1974,NA,NA,NA,NA,TBA
Unaspis citri,Comstock,Hemiptera,Diaspididae,1898,NA,NA,NA,NA,TBA
Uroleucon erigeronense,(Thomas),Hemiptera,Aphididae,2013,NA,NA,NA,NA,TBA
Uroleucon sonchi,Linnaeus,Hemiptera,Aphididae,2000,NA,NA,NA,NA,TBA
Urophorus humeralis,"(Fabricius, 1798)",Coleoptera,Nitidulidae,1896,NA,NA,NA,NA,TBA
Vinsonia stellifera,Westwood,Hemiptera,Coccidae,1992,NA,NA,NA,NA,TBA
Vryburgia amaryllidis,BouchÃ©,Hemiptera,Pseudococcidae,1947,NA,NA,NA,NA,TBA
Xanthogaleruca luteola,(Muller),Coleoptera,Chrysomelidae,1982,Europe,synonym of Pyrrhalta luteola,NA,NA,"Nahrung, 2020"
Xenaleyrodes timonii,Martin,Hemiptera,Aleyrodidae,1999,NA,NA,NA,NA,TBA
Xyleborinus artestriatus,(Eichoff),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Xyleborinus saxesenii,(Ratzeburg),Coleoptera,Curculionidae,1936,Eurasia,NA,NA,NA,"Nahrung, 2020"
Xyleborus affinis,Eichoff,Coleoptera,Curculionidae,1929,N.America,NA,NA,NA,"Nahrung, 2020"
Xyleborus bidentatus,(Motchulsky),Coleoptera,Curculionidae,1965,NA,NA,NA,NA,TBA
Xyleborus bispinatus,Eichoff,Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Xyleborus ferrugineus,(Fabricius),Coleoptera,Curculionidae,1929,Asia,NA,NA,NA,"Nahrung, 2020"
Xyleborus perforans,(Wollaston),Coleoptera,Curculionidae,1891,Asia,NA,NA,NA,"Nahrung, 2020"
Xyleborus volvulus,(Fabricius),Coleoptera,Curculionidae,1936,NA,NA,NA,NA,TBA
Xyleborus xylographus,(Say),Coleoptera,Curculionidae,NA,NA,NA,NA,NA,TBA
Xylosandrus crassiusculus,(Motchulsky),Coleoptera,Curculionidae,2011,Asia,NA,NA,NA,"Nahrung, 2020"
Xylosandrus morigerus,(Blandford),Coleoptera,Curculionidae,1937,NA,NA,NA,NA,TBA
Anoplolepis gracilipes,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Cardiocondyla emeryi,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Hypoponera eduardi,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Hypoponera punctatissima,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Lepisiota frauenfeldi,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Linepithema humile,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Lioponera longitarsus,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Monomorium floricola,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Monomorium intrudens,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Monomorium monomorium,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Monomorium pharaonis,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Nylanderia bourbonica,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Paratrechina longicornis,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Pheidole indica,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Pheidole megacephala,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Plagiolepis alluaudi,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Pseudoponera stigma,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Solenopsis geminata,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Solenopsis invicta,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Strumigenys membranifera,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Syllophopsis sechellensis,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Tapinoma melanocephalum,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Technomyrmex albipes,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Technomyrmex difficilis,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Technomyrmex vitiensis,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Tetramorium bicarinatum,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Tetramorium caldarium,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Tetramorium simillimum,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Trichomyrmex destructor,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Trichomyrmex mayri,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Wasmannia auropunctata,NA,Hymenoptera,Formicidae,NA,NA,NA,NA,NA,TBA
Clivina vagans,Putzeys,Coleoptera,Carabidae,1992,NA,NA,NA,NA,TBA
Laemostenus complanatus,(Dejean),Coleoptera,Carabidae,1940,NA,NA,NA,NA,TBA
Cis guangxiensis,Lawrence,Coleoptera,Ciidae,NA,NA,Lawrence 2018,NA,NA,TBA
Ennearthron alienindicus,Lawrence,Coleoptera,Ciidae,NA,NA,Lawrence 2018,NA,NA,TBA
Orthocis flavipennis,(Pic),Coleoptera,Ciidae,2019,NA,Lawrence 2019,NA,NA,TBA
Necrobia ruficollis,(Fabricius),Coleoptera,Cleridae,1892,NA,Justin Bartlett,NA,NA,TBA
Necrobia rufipes,(de Geer),Coleoptera,Cleridae,1901,NA,Justin Bartlett,NA,NA,TBA
Opetiopalpus scutellaris,(Panzer),Coleoptera,Cleridae,NA,NA,Justin Bartlett,NA,NA,TBA
Hippodamia variegata,(Goeze),Coleoptera,Coccinellidae,2000,NA,NA,NA,NA,TBA
Carcinops pumilio,(Erichson),Coleoptera,Histeridae,1929,NA,NA,NA,NA,TBA
Hister nomas,"Erichson, 1834",Coleoptera,Histeridae,NA,NA,AFD,NA,Y,TBA
Oryctes rhinocerus,(Linneus),Coleoptera,Scarabaeidae,NA,NA,Allsopp 2019,NA,NA,TBA
Oryctoderus latitarsus,Boisduval,Coleoptera,Scarabaeidae,NA,NA,Allsopp 2019,NA,NA,TBA
Oxytelus sculptus,Gravenhorst,Coleoptera,Staphylinidae,1899,NA,NA,NA,NA,TBA
Tasgius ater,(Gravenhorst),Coleoptera,Staphylinidae,NA,NA,NA,NA,NA,TBA
Bisnius parcus,(Sharp),Coleoptera,Staphylinidae,NA,NA,NA,NA,NA,TBA
Lithocharis ochracea,(Gravenhorst),Coleoptera,Staphylinidae,NA,NA,Semmens et al. (1992),NA,NA,TBA
Philonthus politus,(Linnaeus),Coleoptera,Staphylinidae,NA,NA,Semmens et al. (1992),NA,NA,TBA
Quedius cruentus,Olivier,Coleoptera,Staphylinidae,NA,NA,NVA,NA,NA,TBA
Quedius fulgidus,(Fabricius),Coleoptera,Staphylinidae,NA,NA,Semmens et al. (1992),NA,NA,TBA
Tachyporus nitidulus,(Fabricius),Coleoptera,Staphylinidae,NA,NA,ALA,NA,NA,TBA
Thaneroclerus buquet,(Lefebvre),Coleoptera,Thanerocleridae,NA,NA,Justin Bartlett,NA,NA,TBA
Adistemia watsoni,"(Wollaston, 1871)",Coleoptera,LATRIDIIDAE,NA,NA,AFD,NA,NA,TBA
Aglenus brunneus,"(Gyllenhal, 1813)",Coleoptera,SALPINGIDAE,NA,NA,AFD,NA,NA,TBA
Anommatus duodecimstriatus,"(MÃ¼ller, P.W.J.,",Coleoptera,Bothrideridae,NA,NA,AFD,NA,NA,TBA
Anomotarus illawarrae,(Macleay),Coleoptera,CARABIDAE,NA,NA,AFD,NA,NA,TBA
Bembidion brullei,Gemminger,Coleoptera,CARABIDAE,NA,NA,AFD,NA,NA,TBA
Bembidion tetracolum,"tetracolum Say,",Coleoptera,CARABIDAE,NA,NA,AFD,NA,NA,TBA
Bostrychoplites cylindricus,"FÃ¥hraeus, 1872",Coleoptera,BOSTRICHIDAE,NA,NA,AFD,NA,NA,TBA
Calyptomerus dubius,"(Marsham, 1802)",Coleoptera,CLAMBIDAE,NA,NA,AFD,NA,NA,TBA
Camptodes humeralis,"BrullÃ©, 1842",Coleoptera,NITIDULIDAE,NA,NA,AFD,NA,NA,TBA
Cartodere constrictus,"(Gyllenhal, 1827)",Coleoptera,LATRIDIIDAE,NA,NA,AFD,NA,NA,TBA
Cercyon haemorrhoidalis,(Fabricius),Coleoptera,HYDROPHILIDAE,NA,NA,AFD,NA,NA,TBA
Cercyon nigriceps,(Marsham),Coleoptera,HYDROPHILIDAE,NA,NA,AFD,NA,NA,TBA
Cercyon quisquilius,(Linnaeus),Coleoptera,HYDROPHILIDAE,NA,NA,AFD,NA,NA,TBA
Chalcionellus aeneovirens,"(Schmidt, 1890)",Coleoptera,HISTERIDAE,NA,NA,AFD,NA,NA,TBA
Cheirodes sardous,"GenÃ©, 1839",Coleoptera,TENEBRIONIDAE,NA,NA,AFD,NA,NA,TBA
Cis chinensis,"Lawrence, 1991",Coleoptera,CIIDAE,NA,NA,AFD,NA,NA,TBA
Cis fuscipes,"MelliÃ©, 1849",Coleoptera,CIIDAE,NA,NA,AFD,NA,NA,TBA
Contacyphon putonii,(Brisout),Coleoptera,SCIRTIDAE,NA,NA,AFD,NA,NA,TBA
Corticaria elongata,"(Gyllenhal, 1827)",Coleoptera,LATRIDIIDAE,NA,NA,AFD,NA,NA,TBA
Corticaria fenestralis,"(Linnaeus, 1758)",Coleoptera,LATRIDIIDAE,NA,NA,AFD,NA,NA,TBA
Dactylosternum abdominale,"(Fabricius, 1792)",Coleoptera,HYDROPHILIDAE,NA,NA,AFD,NA,NA,TBA
Dactylosternum hydrophiloides,(W.S. Macleay),Coleoptera,HYDROPHILIDAE,NA,NA,AFD,NA,NA,TBA
Dorcus intermedius,"(Gestro, 1881)",Coleoptera,LUCANIDAE,NA,NA,AFD,NA,NA,TBA
Euplectus karstenii,"(Reichenbach, 1816)",Coleoptera,STAPHYLINIDAE,NA,NA,AFD,NA,NA,TBA
Gnathoncus communis,"(Marseul, 1862)",Coleoptera,HISTERIDAE,NA,NA,AFD,NA,NA,TBA
Gnathoncus rotundatus,"(Kugelann, 1792)",Coleoptera,HISTERIDAE,NA,NA,AFD,NA,NA,TBA
Gyrohypnus fracticornis,"(O.F. MÃ¼ller,",Coleoptera,STAPHYLINIDAE,NA,NA,AFD,NA,NA,TBA
Harpalus fulvicornis,"(Thunberg, 1806)",Coleoptera,CARABIDAE,NA,NA,AFD,NA,NA,TBA
Holoparamecus depressus,"Curtis, 1833",Coleoptera,ENDOMYCHIDAE,NA,NA,AFD,NA,NA,TBA
Holoparamecus kunzei,"(AubÃ©, 1843)",Coleoptera,ENDOMYCHIDAE,NA,NA,AFD,NA,NA,TBA
Hypocacculus interpunctatus,(Schmidt),Coleoptera,HISTERIDAE,NA,NA,AFD,NA,NA,TBA
Hypocaccus brasiliensis,(Paykull),Coleoptera,HISTERIDAE,NA,NA,AFD,NA,NA,TBA
Latridius minutus,"(Linnaeus, 1767)",Coleoptera,LATRIDIIDAE,NA,NA,AFD,NA,NA,TBA
Leucohimatium arundinaceum,"(ForsskÃ¥l, 1775)",Coleoptera,EROTYLIDAE,NA,NA,AFD,NA,NA,TBA
Lophocateres pusillus,"(Klug, 1832)",Coleoptera,TROGOSSITIDAE,NA,NA,AFD,NA,NA,TBA
Monanus concinnula,"(Walker, 1858)",Coleoptera,SILVANIDAE,NA,NA,AFD,NA,NA,TBA
Monotoma longicollis,"Gyllenhal, 1827",Coleoptera,MONOTOMIDAE,NA,NA,AFD,NA,NA,TBA
Monotoma picipes,"Herbst, 1793",Coleoptera,MONOTOMIDAE,NA,NA,AFD,NA,NA,TBA
Monotoma spinicollis,"AubÃ©, 1837",Coleoptera,MONOTOMIDAE,NA,NA,AFD,NA,NA,TBA
Mycetaea subterraneus,"(Fabricius, 1801)",Coleoptera,MYCETAEIDAE,NA,NA,AFD,NA,NA,TBA
Myrmechixenus vaporariorum,"GuÃ©rin-MÃ©neville, 1843",Coleoptera,TENEBRIONIDAE,NA,NA,AFD,NA,NA,TBA
Nasaltus chinensis,"(Quensel, 1806)",Coleoptera,HISTERIDAE,NA,NA,AFD,NA,NA,TBA
