GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Cryptolaemus montrouzieri,Mulsant,NA,BiolAge,ツマアカオオヒメテントウ,Coleoptera,NA,Coccinellidae,1999,I,Insect,Australasia,"Yamanaka, 2015"
Epilachna varivestis,Mulsant,NA,Outdoor,インゲンテントウ,Coleoptera,NA,Coccinellidae,1997,NA,Leaf,Nearctic Neotropic,"Yamanaka, 2015"
Hyperaspis leechi,(Walker),NA,Not pest (Predator),ヨツボシツヤテントウ,Coleoptera,NA,Coccinellidae,1989,NA,Insect,Indomalaya,"Yamanaka, 2015"
Platynaspidius maculosus,(Weise),NA,Not pest (Predator),モンクチビルテントウ,Coleoptera,NA,Coccinellidae,1998,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Psyllobora vigintimaculata,NA,NA,Not pest (Predator),クモガタテントウ,Coleoptera,NA,Coccinellidae,1984,NA,Fungus,Nearctic Palearctic(Asia)  Palearctic(Europe)  Nearctic,"Yamanaka, 2015"
Rhyzobius forestieri,(Waterhouse),NA,Not pest (Predator),ハラアカクロテントウ,Coleoptera,NA,Coccinellidae,1987,NA,Insect,Palearctic(Asia),"Yamanaka, 2015"
Rhyzobius lophanthae,(Blaisdell),syn (Lindorus lophanthae),Not pest (Predator),ムネハラアカクロテントウ,Coleoptera,NA,Coccinellidae,NA,NA,Insect,Australasia,"Yamanaka, 2015"
Rodolia cardinalis,(Mulsant),Australian lady beetle,BiolAge,ベダリアテントウ,Coleoptera,NA,Coccinellidae,1911,I,Insect,Australasia,"Yamanaka, 2015"
Synona consanguinea,NA,Australian lady beetle,Not pest (Predator),ムネアカオオクロテントウ,Coleoptera,NA,Coccinellidae,2014,NA,Insect,Palearctic (Asia)  Indomalaya,"Yamanaka, 2015"
Cryptophagus acutangulus,(Morison),NA,Stored,トゲムネキスイ,Coleoptera,NA,Cryptophagidae,NA,NA,Fungus,Palearctic (Europe),"Yamanaka, 2015"
Cryptophagus cellaris,NA,NA,Stored,ウスバキスイ,Coleoptera,NA,Cryptophagidae,NA,NA,Seeds,Palearctic(Asia)  Palearctic(Europe)  Afrotropic  Indomalaya  Nearctic,"Yamanaka, 2015"
Cryptolestes ferrugineus,(Stephens),rusty grain beetle:rust-red grain beetle,Stored,サビカクムネチビヒラタムシ,Coleoptera,NA,Cucujidae,NA,NA,Seeds,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Cryptolestes pusilloides,NA,NA,Stored,ハウカクムネヒラタムシ,Coleoptera,NA,Cucujidae,NA,NA,Seeds: Fungus (シイタケ),Pantropic,"Yamanaka, 2015"
Cryptolestes pusillus,(Schönherr),flat grain beetle,Stored,カクムネチビヒラタムシ,Coleoptera,NA,Cucujidae,NA,NA,Seeds,Oceania,"Yamanaka, 2015"
Cryptolestes turcicus,NA,NA,Stored,トルコカクムネチビヒラタムシ,Coleoptera,NA,Cucujidae,NA,NA,Seeds,Cosmopolitan,"Yamanaka, 2015"
Aclees hirayamai,Kono,NA,Outdoor:Greenhouse,ヒラヤマナガメゾウムシ,Coleoptera,NA,Curculionidae,NA,NA,Leaf (ゴムノキ),Indomalaya,"Yamanaka, 2015"
Donus punctatus,(Zeller),syn (Hypera punctata),Outdoor,オオタコゾウムシ,Coleoptera,NA,Curculionidae,1978,NA,Leaf (シロツメクサ),Nearctic Palearctic(Europe),"Yamanaka, 2015"
Hylastes ater,(Paykull),NA,Tree,マツノクロキクイムシ,Coleoptera,NA,Curculionidae,NA,NA,Wood,Palearctic(Asia)  Palearctic(Europe),"Yamanaka, 2015"
Hypera nigrirostris,Fabricius,NA,Outdoor,ツメクサタコゾウムシ,Coleoptera,NA,Curculionidae,1943,NA,Leaf,Palearctic(Europe),"Yamanaka, 2015"
